date ,invoiceId ,description ,amount ,vat ,total ,remark ,supplier ,published ,excelRecId ,project ,company ,group ,year 
02/02/2020,  ,"תשלום פיתוח למגרש בפ""ת ",246400,  ,246400,  ,מגרש ,F ,  ,גדות שעריה ,יזמות ,62,2020
02/03/2020,3283563,מדיח על השיש ,1197,203,1400,  ,  ,T ,122,  ,ביצועים ,63,2020
02/07/2020,250665,מכשיר סלולר ,2680,456,3136,כרטיס אשראי ביצועים 3 שלושה תשלומים ,  ,F ,1510,  ,ביצועים ,72,2020
02/14/2020 ,42524,ג'מבו - שולם לאייל ,400,  ,400,  ,ישרוטל ,T ,127,ישרוטל ,ביצועים ,63,2020
02/16/2020 ,1457,שי לוזון - תשלום 9 ,17914,  ,17914,העברה 11-02-20 ,"עו""ד שי לוזון ",T ,15389,גדות מתן ,יזמות ,63,2020
02/16/2020 ,  ,600 שח מזומן לקאסם עבור לדים ,  ,  ,  ,  ,  ,F ,7528,גדות מתן ,ביצועים ,63,2020
02/16/2020 ,8390,קאופמן - דיסק כפפות - (אייל) ,93,16,109,  ,ישרוטל ,T ,130,ישרוטל ,ביצועים ,63,2020
02/16/2020 ,73601,ליעד - חומרי בנין - (אייל) ,150,  ,150,  ,ישרוטל ,T ,133,ישרוטל ,ביצועים ,63,2020
02/16/2020 ,73603,ליעד - חומרי בנין - (אייל) ,80,  ,80,  ,ישרוטל ,T ,136,ישרוטל ,ביצועים ,63,2020
02/16/2020 ,  ,חניה - - (אייל) ,55,  ,55,  ,ישרוטל ,F ,  ,ישרוטל ,ביצועים ,63,2020
02/16/2020 ,  ,פועל חד יומי - - (אייל) ,600,  ,600,  ,ישרוטל ,F ,  ,ישרוטל ,ביצועים ,63,2020
02/16/2020 ,1458,שי לוזון - רישום ג'2 ,800,136,936,העברה בנקאח 11.02.20 ,"עו""ד שי לוזון ",T ,139,  ,ביצועים ,63,2020
02/17/2020 ,195662,חניה - (אייל) ,50,  ,50,  ,ישרוטל ,T ,  ,ישרוטל ,ביצועים ,63,2020
02/17/2020 ,73625,ליעד - דיסק ,300,  ,300,  ,ישרוטל ,T ,144,ישרוטל ,ביצועים ,63,2020
02/17/2020 ,  ,חניה ,50,  ,50,  ,ישרוטל ,T ,  ,ישרוטל ,ביצועים ,63,2020
02/17/2020 ,205257,אלרם - איטום ,1680,286,1966,כ. אשראי ,ישרוטל ,T ,147,ישרוטל ,ביצועים ,63,2020
02/19/2020 ,73714,ליעד- דבק קרמיקה ,140,24,164,  ,ישרוטל ,T ,268,ישרוטל ,ביצועים ,64,2020
02/23/2020 ,7381,ליעד - טונר ,50,  ,50,  ,ישרוטל ,T ,152,ישרוטל ,ביצועים ,63,2020
02/23/2020 ,73802,ליעד - טונר 2 ,25,  ,25,  ,ישרוטל ,T ,155,ישרוטל ,ביצועים ,63,2020
02/23/2020 ,73786,ליעד - חומרי בנין ,75,  ,75,  ,ישרוטל ,T ,158,ישרוטל ,ביצועים ,63,2020
02/23/2020 ,73793,ליעד - שק + סיליקון ,130,  ,130,  ,ישרוטל ,T ,161,ישרוטל ,ביצועים ,63,2020
02/23/2020 ,73782,ליעד -איזמיל + מברשות ,200,  ,200,  ,ישרוטל ,T ,164,ישרוטל ,ביצועים ,63,2020
02/23/2020 ,62069,פוינטר - 20-02 ,33,6,39,  ,פוניטר/קוברה ,T ,15396,  ,יזמות ,64,2020
02/24/2020 ,  ,חניה x 5 ,250,  ,250,  ,ישרוטל ,T ,  ,ישרוטל ,ביצועים ,63,2020
02/24/2020 ,205885,אלרם - מריס 670 + מדלל ,1240,211,1451,שולם באשראי 21.10.20 ,ישרוטל ,T ,399,ישרוטל ,ביצועים ,65,2020
02/25/2020 ,442109940,בזק - 20-01 ,78,13,91,  ,בזק ,T ,15237,  ,יזמות ,63,2020
02/25/2020 ,84194,גל פרזול עמודונים בית 6 ,528,90,618,שולם באשראי סך 871 עבור חשבוניות אחרונות ,גל מערכות פרזול ,T ,15399,גדות מתן ,יזמות ,64,2020
02/26/2020 ,1277,צדיק שמעון - ישרוטל ,20000,3400,23400,"מזומן 20,000 + העברה מע""מ 3,400 תאריך 26.02.20 ",צדיק חיים ,T ,167,ישרוטל ,ביצועים ,63,2020
02/26/2020 ,206029,אלרם - מדלל צבע ,200,34,234,שולם באשראי 21.10.20 ,ישרוטל ,T ,651,ישרוטל ,ביצועים ,67,2020
02/27/2020 ,20301197,ארכה - 20-02 תאורה בית 6 ,118,20,138,"שולם מררוכז ינואר20 - ספט20 סך 4,506.90 באשראי - 17.12.20 קבלה - 305404 ",ארכה ,T ,15402,גדות מתן ,יזמות ,64,2020
02/27/2020 ,520300122,ארכה - 20-02 זיכוי ,-506,-86,-592,"שולם מררוכז ינואר20 - ספט20 סך 4,506.90 באשראי - 17.12.20 קבלה - 305404 ",ארכה ,F ,  ,גדות מתן ,יזמות ,71,2020
02/28/2020 ,147971,חשמלית עוז - חומרים לישרוטל ,5399,918,6317,העברה בנקאית - 11.05.20 ,חשמלית עוז ,T ,271,ישרוטל ,ביצועים ,64,2020
02/28/2020 ,5047034,מעודד - 20-02 - חומרים +דבק לישרוטל ,575,98,673,כ. אשראי - 27.04.20 חשבוניות 5047034-5047895 ,מעודד צבעים ,T ,15405,ישרוטל ,יזמות ,64,2020
02/28/2020 ,773,שי תותחני - עגלה פסול חומרי בנין ,1400,238,1638,  ,ישרוטל ,T ,274,ישרוטל ,ביצועים ,64,2020
02/29/2020 ,159047,ג'יוסי - 20-02 ,1050,178,1228,"שיק 10534 עס 35,000 ש""ח עבור חשבוניות 11/19 - 08-20 ",ג'יוסי ,T ,15408,גדות מתן ,יזמות ,64,2020
03/03/2020,80333171,בדיקת מתקן בית 6 ,450,77,527,  ,שונות ,T ,15411,גדות מתן ,יזמות ,64,2020
03/04/2020,3304,אלומיניום ורד - מעקה בית 6 ,5763,980,6743,"העברה בנקאית 06.05.20 סך 6,354 והשאר במזומן ",מעקות ,T ,15354,גדות מתן ,יזמות ,63,2020
03/04/2020,930,אגרה לדף מידע ,194,  ,194,  ,בריכה ,T ,15351,  ,יזמות ,63,2020
03/08/2020,20000011,משה אברהמי - אינטרקום דודי ,2320,  ,2320,העברה בנקאית - 17.03.20 ,שונות ,T ,15591,גדות מתן ,יזמות ,64,2020
03/09/2020,443367090,בזק - 20-02 ,93,16,109,  ,בזק ,T ,15419,  ,יזמות ,64,2020
03/12/2020,84755,גל פרזול - דבק מראות בית 6 ,42,7,49,שולם באשראי סך 871 עבור חשבוניות אחרונות ,גל מערכות פרזול ,T ,15644,גדות מתן ,יזמות ,65,2020
03/13/2020 ,758,"אלעד - גמ""ח עבור ג2 ",4500,765,5265,  ,  ,T ,277,  ,ביצועים ,64,2020
03/15/2020 ,87161,צמיגים ,598,102,700,  ,  ,T ,15425,  ,יזמות ,64,2020
03/16/2020 ,1097,אחמד 0= - תשלום אחרון ,20000,3400,23400,"העברה 7,800 (29.03.20 + 20.04.20 + 07.05.20) ",אחמד חשמל ,T ,5653,גדות מתן ,יזמות ,64,2020
03/19/2020 ,739210320,פרטנר ,290,  ,290,  ,פרטנר ,T ,15430,  ,יזמות ,64,2020
03/22/2020 ,1471,שי לוזון - תשלום 10 ,8118,  ,8118,העברה בנקאית 18.03.20 ,"עו""ד שי לוזון ",T ,15437,גדות מתן ,יזמות ,64,2020
03/24/2020 ,81341216,פוינטר - 20-03 ,33,6,39,  ,פוניטר/קוברה ,T ,16047,  ,יזמות ,65,2020
03/31/2020 ,3495,טלפון מיכל ,785,134,919,שולם בכרטיס אשראי פרטי ,  ,T ,15467,  ,יזמות ,64,2020
03/31/2020 ,159536,ג'יוסי - 20-03 ,2262,385,2647,"שיק 10534 עס 35,000 ש""ח עבור חשבוניות 11/19 - 08-20 ",ג'יוסי ,T ,15440,גדות מתן ,יזמות ,64,2020
03/31/2020 ,5047895,מעודד - 20-03 ,572,97,669,כ. אשראי - 27.04.20 חשבוניות 5047034-5047895 ,מעודד צבעים ,T ,15443,גדות מתן ,יזמות ,64,2020
04/05/2020,341113,בדק בית - חומרים ,59,  ,59,  ,  ,T ,280,  ,ביצועים ,64,2020
04/05/2020,102258,דיו למדפסת ,390,66,456,  ,  ,T ,285,  ,ביצועים ,64,2020
04/12/2020,80371,חומרים - טמבור ,50,  ,50,  ,  ,T ,15446,  ,יזמות ,64,2020
04/14/2020 ,80448,טמבור - בצע ,279,  ,279,  ,  ,T ,15449,  ,יזמות ,64,2020
04/16/2020 ,11558,ענטבי פרקט למרתף ,4000,  ,4000,העברה בנקאית ,  ,T ,290,  ,ביצועים ,64,2020
04/22/2020 ,6636,תאורה מרתף 1 ,144,  ,144,  ,  ,T ,293,  ,ביצועים ,64,2020
04/22/2020 ,95523,תאורה מרתף 2 ,180,  ,180,  ,  ,T ,297,  ,ביצועים ,64,2020
04/22/2020 ,1279,צדיק שמעון תשלום 1 קיוסק ,20000,3400,23400,"העברה 3,400 מע""מ - השאר מזומן ",צדיק חיים ,T ,402,"קיוסק ת""א ",ביצועים ,65,2020
04/22/2020 ,81419431,פוינטר - 20-04 ,33,6,39,  ,פוניטר/קוברה ,T ,16049,  ,יזמות ,65,2020
04/30/2020 ,28486,חומרים ,80,  ,80,  ,קיוסק תא ,T ,303,"קיוסק ת""א ",ביצועים ,64,2020
04/30/2020 ,51478,"הובלות אלישע - רגליים לקיוסק ת""א ",900,153,1053,שולם בשיק 10138 תאריך 27.07.20 ,הובלות אלישע ,T ,407,"קיוסק ת""א ",ביצועים ,65,2020
04/30/2020 ,233068,שמעון אהרוני ,1884,  ,1884,שולם בשיק 10129 ,קיוסק תא ,T ,410,"קיוסק ת""א ",ביצועים ,65,2020
04/30/2020 ,159844,ג'יוסי - 20-04 א ,127,22,149,"שיק 10534 עס 35,000 ש""ח עבור חשבוניות 11/19 - 08-20 ",ג'יוסי ,T ,16784,"קיוסק ת""א ",יזמות ,70,2020
04/30/2020 ,159931,ג'יוסי - 20-04 ב ,515,88,603,"שיק 10534 עס 35,000 ש""ח עבור חשבוניות 11/19 - 08-20 ",ג'יוסי ,T ,16787,"קיוסק ת""א ",יזמות ,70,2020
05/04/2020,62000147,מטבחי זיו - משפחת ירום תוספות ,12000,  ,12000,תשלום עבור תוספת ,מטבחי זיו ,T ,415,גדות מתן ,ביצועים ,65,2020
05/04/2020,1280,צדיק שמעון תשלום 2 קיוסק ,10000,1700,11700,העברה 05.05.20 ,צדיק חיים ,T ,418,"קיוסק ת""א ",ביצועים ,65,2020
05/04/2020,62000149,מטבחי זיו - ערבות בנקאית ,400,  ,400,עבור ערבות ,מטבחי זיו ,T ,423,גדות מתן ,ביצועים ,65,2020
05/04/2020,62000148,מטבחי זיו - משפחת ירום ראשי ,33600,  ,33600,תשלום ראשי ,מטבחי זיו ,T ,426,גדות מתן ,ביצועים ,65,2020
05/04/2020,212150,אלרם - שיקום בטונים ,2880,490,3370,שולם באשראי 21.10.20 ,פיתוח עירוני ט ,T ,1299,פיתוח עירוני ,ביצועים ,71,2020
05/07/2020,  ,טיפ לנהג משאית - צמנטיט ,100,  ,100,  ,קיוסק תא ,F ,  ,"קיוסק ת""א ",ביצועים ,65,2020
05/07/2020,12383,לוחות רודוב חשמל סט 2.5 + 1.5 ,312,53,365,אשראי ,קיוסק תא ,T ,15651,"קיוסק ת""א ",יזמות ,65,2020
05/07/2020,445,שרלי - חומרי בניין - 0 בלות לטיט ,90,  ,90,מזומן ,שרלי - חומרי בנין ,T ,429,"קיוסק ת""א ",ביצועים ,65,2020
05/07/2020,210,"גביזון - עו""ד אמא ",5000,850,5850,העברה בנקאית ,  ,T ,7388,  ,יזמות ,65,2020
05/07/2020,43028,כיור וברז - עינב בית 6 ,1794,305,2099,כסף הועבר במזומן לעינב ,שונות ,T ,432,גדות מתן ,ביצועים ,65,2020
05/10/2020,  ,ביטוח עבודות שיפוצים ,4000,  ,4000,העברה בנקאית 26.05.20 ,קיוסק תא ,F ,68,"קיוסק ת""א ",ביצועים ,65,2020
05/12/2020,44639,חומר אינסטלציה-למנצור אינסטלטור ,900,153,1053,אשראי ,קיוסק תא ,T ,437,"קיוסק ת""א ",ביצועים ,65,2020
05/12/2020,5566696,פרפקט ליין - ארון מראה שרותים בריכה ,1017,  ,1017,  ,בריכה ,T ,15659,  ,יזמות ,65,2020
05/13/2020 ,1281,צדיק שמעון תשלום 3 קיוסק ,20000,3400,23400,העברה בנקאית 13.05.20 ,צדיק חיים ,T ,440,"קיוסק ת""א ",ביצועים ,65,2020
05/14/2020 ,1158,גידור אתר פעם שניה- שעריה ,4360,741,5101,העברה ננקאית - 24.05.20 ,שונות ,T ,445,גדות שעריה ,ביצועים ,65,2020
05/14/2020 ,81691,ברוך טמבור - כלים לטייח ספוג ,290,  ,290,  ,קיוסק תא ,T ,450,"קיוסק ת""א ",ביצועים ,65,2020
05/14/2020 ,5678,עטים כולל מיתוג ,250,  ,250,שולם בביט חשבון הפרטי ,  ,T ,6624,  ,יזמות ,65,2020
05/18/2020 ,433004411,נגב - אריחים ,1165,198,1363,אשראי ,נגב ,T ,453,"קיוסק ת""א ",ביצועים ,65,2020
05/18/2020 ,3293787,דובין - משאבה מדיח ,128,22,150,  ,  ,T ,456,  ,ביצועים ,65,2020
05/19/2020 ,44854,חומר אינסטלציה - מנצור כיבוי אש ,3920,  ,3920,  ,קיוסק תא ,T ,500,"קיוסק ת""א ",ביצועים ,66,2020
05/19/2020 ,1282,צדיק שמעון תשלום 4 קיוסק ,25000,4250,29250,העברה בנקאית 20.05.20 ,צדיק חיים ,T ,459,"קיוסק ת""א ",ביצועים ,65,2020
05/20/2020 ,447,אינסטלציה - מסנן שמן + תעלה בני ,6555,  ,6555,שולם בשיק 10128 ,קיוסק תא ,T ,462,"קיוסק ת""א ",ביצועים ,65,2020
05/20/2020 ,1284,צדיק שמעון תשלום 5א קיוסק ,9000,1530,10530,העברה בנקאית 26.05.20 ,צדיק חיים ,T ,467,"קיוסק ת""א ",ביצועים ,65,2020
05/21/2020 ,5927,חיפוי מטבח - עינב בית 6 ,876,149,1025,כסף הועבר במזומן לעינב ,שונות ,T ,15665,גדות מתן ,יזמות ,65,2020
05/21/2020 ,98490,פוינטר - 20-05 ,33,6,39,  ,פוניטר/קוברה ,T ,16151,  ,יזמות ,67,2020
05/24/2020 ,5155,גידור עירוני ט 1 ,1630,277,1907,"שולם 6,618 עבור חש 5155, 5239, 5314 ",גידור זמני א.ס. ,F ,497,"קיוסק ת""א ",ביצועים ,65,2020
05/24/2020 ,20000019,משה אברהמי - אינטרקום עינב ירום ,4460,  ,4460,העברה בנקראית - 11.06.20 ,שונות ,F ,16096,גדות מתן ,יזמות ,66,2020
05/26/2020 ,1827,איטום גג חיים פריינטה עירוני ט ,7540,1282,8822,העברה בנקאית 10.06.20 ,קיוסק תא ,F ,956,"קיוסק ת""א ",ביצועים ,65,2020
05/26/2020 ,1286,צדיק שמעון תשלום 5ב קיוסק ,1000,170,1170,העברה בנקאית 26.05.20 ,צדיק חיים ,T ,474,"קיוסק ת""א ",ביצועים ,65,2020
05/27/2020 ,100243,שרלי - חומרי בניין - 1 ,8997,1529,10526,"שולם בשיק 10,000 + יתרה באשראי חשבונית הבאה ",שרלי - חומרי בנין ,T ,477,"קיוסק ת""א ",ביצועים ,65,2020
05/27/2020 ,4703,נגב - אריחים השלמות ,238,40,278,אשראי ,נגב ,T ,654,"קיוסק ת""א ",ביצועים ,67,2020
05/27/2020 ,481,דבק לעירוני ט (מחנות בבת-ים) ,156,  ,156,  ,קיוסק תא ,T ,482,"קיוסק ת""א ",ביצועים ,65,2020
05/27/2020 ,30241,אינסטלציה = מוט טוש + ציוד ,365,  ,365,  ,  ,T ,485,גדות מתן ,ביצועים ,65,2020
05/27/2020 ,204,קורס חד יומי- שיווק 1 ,49,8,57,אשראי ,  ,T ,16154,  ,יזמות ,67,2020
05/27/2020 ,205,קורס חד יומי- שיווק 2 ,49,8,57,אשראי ,  ,T ,16157,  ,יזמות ,67,2020
05/31/2020 ,37014799,שפיר - טיט 20-05 ,2610,444,3054,שיק מס 10141 ,שפיר בטון ,T ,511,"קיוסק ת""א ",ביצועים ,68,2020
05/31/2020 ,  ,אייל - 500 שח מזומן ,500,  ,500,  ,קיוסק תא ,F ,  ,"קיוסק ת""א ",ביצועים ,65,2020
05/31/2020 ,100249,שרלי - חומרי בניין - 2 ,5169,879,6048,אשראי - 01.06.20 ,שרלי - חומרי בנין ,T ,488,"קיוסק ת""א ",ביצועים ,65,2020
05/31/2020 ,420303159,ארכה - 20-05 ציוד לעירוני ט ,1094,186,1280,"שולם מררוכז ינואר20 - ספט20 סך 4,506.90 באשראי - 17.12.20 קבלה - 305404 ",ארכה ,T ,15668,"קיוסק ת""א ",יזמות ,65,2020
05/31/2020 ,160280,ג'יוסי - 20-05 - עירוני ט ,580,99,679,"שיק 10534 עס 35,000 ש""ח עבור חשבוניות 11/19 - 08-20 ",ג'יוסי ,T ,15671,"קיוסק ת""א ",יזמות ,65,2020
05/31/2020 ,5239,גידור עירוני ט 2 ,2046,348,2394,"שולם 6,618 עבור חש 5155, 5239, 5314 ",גידור זמני א.ס. ,F ,5100,"קיוסק ת""א ",ביצועים ,66,2020
05/31/2020 ,148678,חשמלית עוז - עירוני ט 20-05 ,5165,878,6043,"קבלה ע""ס - 6,481 עבור חשבוניות 148678, 148871 ",חשמלית עוז ,T ,657,"קיוסק ת""א ",ביצועים ,68,2020
05/31/2020 ,  ,רואה חשבון 05 2020 ,1500,255,1755,  ,קיוסק תא ,F ,  ,"קיוסק ת""א ",ביצועים ,67,2020
05/31/2020 ,14456,סקר עצים - פת ,900,153,1053,העברה בנקאית 02.06.20 - האם נקלט אצל בלה ,שונות ,T ,17261,גדות שעריה ,יזמות ,73,2020
06/01/2020,2058,מודד - עדכון מדידה ראשון לציון ,1000,170,1170,העברה בנקאית - 11.06.20 ,עומר מודד ,T ,16160,  ,יזמות ,67,2020
06/01/2020,2059,"מודד - מדידה למבאת פ""ת ",2500,425,2925,העברה בנקאית - 11.06.20 ,עומר מודד ,T ,16167,גדות שעריה ,יזמות ,67,2020
06/02/2020,100307,שרלי - חומרי בניין - 3 ,4272,726,4998,  ,שרלי - חומרי בנין ,F ,751,"קיוסק ת""א ",ביצועים ,67,2020
06/02/2020,  ,בלוני גז ,300,  ,300,  ,קיוסק תא ,F ,  ,"קיוסק ת""א ",ביצועים ,65,2020
06/03/2020,1288,צדיק שמעון תשלום 6 קיוסק ,15000,2550,17550,העברה בנקאית 03.06.20 ,צדיק חיים ,T ,629,"קיוסק ת""א ",ביצועים ,65,2020
06/04/2020,50048,דלת כניסה - אבי דלתות ,2000,340,2340,העברה בנקאית = 08.06.20 ,קיוסק תא ,T ,634,"קיוסק ת""א ",ביצועים ,65,2020
06/07/2020,8048,שרלי - ברזל לרצפה עירוני ט ,2600,  ,2600,"אשראי - שולם ע""י אשראי של גדות ביצועים ",שרלי - חומרי בנין ,F ,16147,"קיוסק ת""א ",יזמות ,67,2020
06/08/2020,1750,צמחיה למשרד ,342,58,400,אשראי ,  ,T ,16104,  ,יזמות ,65,2020
06/08/2020,4017,צמחיה מלאכותית ,243,41,284,  ,  ,T ,16170,  ,יזמות ,65,2020
06/10/2020,322039,ספרינטגרף - הדפסה יהוד ,74,  ,74,שולם בכרטיס אשראי הפרטי ,  ,F ,16176,  ,יזמות ,65,2020
06/10/2020,1292,צדיק שמעון תשלום 7 קיוסק ,10000,1700,11700,העברת זהב 11.06.20 ,צדיק חיים ,F ,1101,"קיוסק ת""א ",ביצועים ,66,2020
06/10/2020,4676,פרחים סנטטים לבית 6 ,94,16,110,אשראי ,  ,T ,16173,  ,יזמות ,67,2020
06/10/2020,322039,ספרינטגרף - נפתלי רונן ,63,11,74,שולם באשראי הפרטי ,  ,T ,16176,  ,יזמות ,67,2020
06/10/2020,100772,גואטה - מסמר מגולוון ,8,  ,8,  ,  ,T ,660,  ,ביצועים ,67,2020
06/11/2020,8644,סוללה לטלפון ,256,44,300,מזומן ,  ,T ,16142,  ,יזמות ,67,2020
06/11/2020,7251,אוטו רונון - שטיפה ,90,  ,90,  ,  ,T ,16179,  ,יזמות ,67,2020
06/11/2020,86597,גל מערכות- חיזוקים למעקה בית 6 ,415,70,485,שולם באשראי סך 871 עבור חשבוניות אחרונות ,גל מערכות פרזול ,T ,16324,גדות מתן ,יזמות ,68,2020
06/15/2020 ,10635,"אלומיניום בית 5-6 גמ""ח ",100000,17000,117000,"שולם 100,000 ש""ח בהעברה בנקאית 30.06.20 ",אלומיניום ניזאר ,T ,16182,גדות מתן ,יזמות ,67,2020
06/15/2020 ,38,ועד מתן - עבור פח אשפה בית 6 ,230,  ,230,מזומן - לאריאל ,שונות ,T ,16201,גדות מתן ,יזמות ,67,2020
06/16/2020 ,1294,צדיק שמעון תשלום 8 קיוסק ,17000,2890,19890,העברת בנקאית 16.06.20 ,צדיק חיים ,F ,1106,"קיוסק ת""א ",ביצועים ,66,2020
06/16/2020 ,105,אחים אלבנא - עבודות תיקונים בית 6 ,4000,680,4680,שולם בשיק ביצועים 10130 ,שונות ,T ,663,גדות מתן ,ביצועים ,67,2020
06/16/2020 ,369,אלום ברק פרגולה בית 6 מקדמה ,100,  ,100,מזומן ,שונות ,T ,668,גדות מתן ,ביצועים ,67,2020
06/16/2020 ,341678,בדק בית ,455,  ,455,אשראי ,קיוסק תא ,T ,671,"קיוסק ת""א ",ביצועים ,67,2020
06/16/2020 ,39284,מרסס הדברה ,35,6,41,  ,  ,T ,674,  ,ביצועים ,67,2020
06/18/2020 ,5302,נמרוד - דוד חשמל עירוני ט ,737,125,862,  ,קיוסק תא ,T ,677,"קיוסק ת""א ",ביצועים ,67,2020
06/19/2020 ,  ,אינסטלציה עבודות מזומן ,2000,  ,2000,  ,קיוסק תא ,F ,  ,"קיוסק ת""א ",ביצועים ,66,2020
06/19/2020 ,12087,אינסטלציה - חלקים לגמל ,3240,  ,3240,אשראי ,קיוסק תא ,T ,682,"קיוסק ת""א ",ביצועים ,67,2020
06/19/2020 ,202486,אינסטלציה חומרים עירוני ט ,95,16,111,  ,קיוסק תא ,T ,687,"קיוסק ת""א ",ביצועים ,67,2020
06/19/2020 ,217595,נייר צילום ,36,  ,36,  ,  ,T ,690,  ,ביצועים ,67,2020
06/20/2020 ,2905,יעל משאבות ,1140,194,1334,"העברה בנקאית 7,530 עבור חשבוניות 2905 - 3168 24.11.20 ",יעל משאבות ,T ,829,"קיוסק ת""א ",ביצועים ,68,2020
06/22/2020 ,5567348,מקלחון שקד ,683,  ,683,  ,פרפקט ליין ,T ,16187,גדות מתן ,יזמות ,67,2020
06/22/2020 ,4470,ננו ציפי למלחונים ,243,41,284,  ,  ,T ,693,  ,ביצועים ,67,2020
06/23/2020 ,11588,ארונות קיר משפחת ירום ,20513,3487,24000,שולם מקדמה 4000 07.05 והשאר באשראי בתאריך 8.6.20 קבלה 22237 ,ארונות סליידור ,T ,696,גדות מתן ,ביצועים ,67,2020
06/23/2020 ,336,אלומיניום א.א.ע עבודות אלומיניום ,5850,995,6845,העברה בנקאית - 24/08/20 ,קיוסק תא ,T ,8094,"קיוסק ת""א ",ביצועים ,68,2020
06/23/2020 ,556,משה אבו - התקנה מקלחון שקד ,300,  ,300,העברה 12.07.20 ,שונות ,T ,16190,גדות מתן ,יזמות ,67,2020
06/23/2020 ,5442,נמרוד - מעברבל טמפרטורה ,81,14,95,  ,  ,T ,708,  ,ביצועים ,67,2020
06/23/2020 ,341749,בדק בית - רולל + מברשת ,49,  ,49,  ,  ,T ,711,  ,ביצועים ,67,2020
06/24/2020 ,81577380,פוינטר - 20-06 ,33,6,39,  ,פוניטר/קוברה ,T ,16326,  ,יזמות ,68,2020
06/25/2020 ,1202,פינוי פסולת - מנוף ,6570,1117,7687,העברה בנקאית 18.10.20 ,קיוסק תא ,T ,1491,"קיוסק ת""א ",ביצועים ,68,2020
06/28/2020 ,1669,שרון התקנת מזגן עירונינ ט ,2000,  ,2000,שולם בשיק 10133 28.06.20 ,מזגנים - שרון ,T ,714,"קיוסק ת""א ",ביצועים ,67,2020
06/28/2020 ,205003772,קניית מזגן לעירוני ט ,3750,  ,3750,חסרה חשבונית ,קיוסק תא ,T ,719,"קיוסק ת""א ",ביצועים ,67,2020
06/28/2020 ,420304007,ארכה - 20-06 ,1105,188,1293,"שולם מררוכז ינואר20 - ספט20 סך 4,506.90 באשראי - 17.12.20 קבלה - 305404 ",ארכה ,T ,16332,"קיוסק ת""א ",יזמות ,68,2020
06/29/2020 ,5314,גידור עירוני ט 3 ,1980,337,2317,"שולם 6,618 עבור חש 5155, 5239, 5314 ",גידור זמני א.ס. ,T ,724,"קיוסק ת""א ",ביצועים ,67,2020
06/29/2020 ,205003830,מזגן - בית המקינים ,6750,  ,6750,  ,  ,T ,727,  ,ביצועים ,67,2020
