company,project,description ,amount ,vat ,total ,group ,date ,supplier ,invoiceId ,excelRecId ,remark ,published ,year 
ביצועים,בבלי,,2347.52,399.08,2746.6,100,2023-01-31T00:00:00.000Z,סיסטם,298312,10962,"אשראי 16,033 ש""ח תאריך 24.04.23 עבור 298637 298313 298312 297760 294198 291931 291689 291168 289101",TRUE,2023
ביצועים,נווה אליעזר,תקרות,2360,401.2,2761.2,100,2023-01-31T00:00:00.000Z,סיסטם,298313,10965,"אשראי 16,033 ש""ח תאריך 24.04.23 עבור 298637 298313 298312 297760 294198 291931 291689 291168 289101",TRUE,2023
ביצועים,גשר,תקרות + 926,1250,212.5,1462.5,100,2023-01-31T00:00:00.000Z,סיסטם,297760,10968,"אשראי 16,033 ש""ח תאריך 24.04.23 עבור 298637 298313 298312 297760 294198 291931 291689 291168 289101",TRUE,2023
ביצועים,צייטלין 2,בדיקת בטון,450,76.5,526.5,100,2023-02-28T00:00:00.000Z,סיסטם,298637,10971,"אשראי 16,033 ש""ח תאריך 24.04.23 עבור 298637 298313 298312 297760 294198 291931 291689 291168 289101",TRUE,2023
ביצועים,סטף,גמר חשבון - סטף,94017,15983,110000,100,2023-03-27T00:00:00.000Z,ע.ס.ג הנדסה,66,10974,"שיק 10679 27.03.23 (81,059+מעמ+ 13,600 מעמ חשבונית 64 + 1,561 הפרשים)",TRUE,2023
ביצועים,נווה אליעזר,כריזה וגחלוי אש בנווה אליעזר,30720,5222,35942,100,2023-03-28T00:00:00.000Z,אמארה,85,10979,"שיק 10632 ע""ס 18,420 ש""ח תאריך 23.04.23 + העברה 04.04.23 - 16,084",TRUE,2023
ביצועים,נווה אליעזר,מראות + בר מג'יק פלור,40040.17,6806.83,46847,100,2023-03-28T00:00:00.000Z,,234000005,10982,"שיק 10684 19,071 ש""ח 30.04.23 + שיק 10685 27,776 ש""ח 15.05.23",TRUE,2023
יזמות,גדות מתן,"עו""ד נמרוד כנפי - תביעה עמית תשלום 3",10000,1700,11700,100,2023-02-26T00:00:00.000Z,"עו""ד נמרוד כנפי",1402,,העברה בנקאית - 23.02.23,FALSE,2023
ביצועים,,"רו""ח יוחאי",1500,255,1755,100,2023-03-30T00:00:00.000Z,,149403,10989,,TRUE,2023
ביצועים,נווה אליעזר,שרלי - 23-03,1464.1,248.9,1713,100,2023-03-31T00:00:00.000Z,שרלי - חומרי בנין,100301,10992,,TRUE,2023
ביצועים,נווה אליעזר,אחים ונטורה,85,15,100,100,2023-02-05T00:00:00.000Z,ונטורה אחים,294860,10995,,TRUE,2023
ביצועים,נווה אליעזר,אחים ונטורה,53,9,62,100,2023-02-06T00:00:00.000Z,ונטורה אחים,294888,10998,,TRUE,2023
ביצועים,גשר,אחים ונטורה,221,37,258,100,2023-02-06T00:00:00.000Z,ונטורה אחים,294875,11001,,TRUE,2023
יזמות,,מאקס טוק - סט המתנה לישיבה,341,58,399,100,2023-04-05T00:00:00.000Z,,11774,,,FALSE,2023
ביצועים,,תיקון פנצ'ר,60,10,70,100,2023-03-31T00:00:00.000Z,,130909,11006,,TRUE,2023
ביצועים,הוצאות אלי,נגרות / מסגרות גשר - תשלום 3,50000,8500,58500,99,2022-09-21T21:00:00.000Z,נגר אלסוריקי,435,,"שיק 10603 ע""ס 55,575 ש""ח תאריך 20.01.23 (במקום שיק 10509 שבוטל)",TRUE,2022
ביצועים,סטף,איזוטסט - מקדמה,2000,,2000,99,2022-10-05T21:00:00.000Z,איזוטסט,225003324,9378,העברה בנקאית,TRUE,2022
ביצועים,נווה אליעזר,ריצוף נגב - הפרשים,-1314,-223,-1537,99,2022-10-17T21:00:00.000Z,נגב,964054375,10354,"שיק 10635 ע""ס 44,430 ש""ח עבור חשבוניות 178,375,310,766 תאריך 15.05.23",TRUE,2022
ביצועים,נווה אליעזר,נגב - ריצוף לנווה אליעזר,2957,503,3460,99,2022-11-23T22:00:00.000Z,נגב,964059766,10357,"שיק 10635 ע""ס 44,430 ש""ח עבור חשבוניות 178,375,310,766 תאריך 15.05.23",TRUE,2022
ביצועים,גשר,מרכז הגבס - 22-12,782,133,915,99,2022-12-28T22:00:00.000Z,מרכז הגבס,226012339,10360,"שיק 10669 ע""ס 9,428 ש""ח עבור חשבוניות 353, 354, 355, 339",TRUE,2022
ביצועים,גשר,ארכה,420,71,491,99,2023-01-26T00:00:00.000Z,ארכה,342300351,10379,"שיק 10680 ע""ס 33,315 ש""ח 30.05.23 עבור חשבוניות 10/22 - 02/23",TRUE,2023
ביצועים,,ארכה,44,8,52,99,2023-01-26T00:00:00.000Z,ארכה,342300350,10382,"שיק 10680 ע""ס 33,315 ש""ח 30.05.23 עבור חשבוניות 10/22 - 02/23",TRUE,2023
ביצועים,נווה אליעזר,מוטי פרץ - 23-01,1901,323,2225,99,2023-01-31T00:00:00.000Z,מוטי פרץ,19663,10385,"שיק 10678 ע""ס 7,135 ש""ח לתאריך 30.04.23",TRUE,2023
ביצועים,גשר,גולמט - גשר השלמות,6627,1127,7753,99,2023-01-30T22:00:00.000Z,גולמט,2300962,10388,,TRUE,2023
ביצועים,סטף,איזוטסט - 22-02,486,83,569,99,2023-02-14T00:00:00.000Z,איזוטסט,236001537,10391,"שיק 10767 ע""ס 1,482 עבור חשבוניות 1537, 660, 431 תאריך 15.04.23",TRUE,2023
ביצועים,נווה אליעזר,איטום גג נווה אליעזר מקדמה,15000,2550,17550,99,2023-02-13T22:00:00.000Z,,364,10394,העברה בנקאית - 15.02.23,TRUE,2023
ביצועים,בבלי,אדם - בבלי,700,119,819,99,2023-02-14T22:00:00.000Z,אור הארץ,2225,10399,"אור הארץ - שיק 10649 ע""ס 50,544 ש""ח לתאריך 16.02.23 עבור נווה אליעזר, בבלי (700 אדם)",TRUE,2023
ביצועים,נווה אליעזר,חמיס - נווה אליעזר,42500,7225,49725,99,2023-02-14T22:00:00.000Z,אור הארץ,2225,10398,"אור הארץ - שיק 10649 ע""ס 50,544 ש""ח לתאריך 16.02.23 עבור נווה אליעזר, בבלי (700 אדם)",TRUE,2023
ביצועים,נווה אליעזר,פיגום נווה אליעזר,6000,1020,7020,99,2023-02-15T00:00:00.000Z,פיגום י.ש,100696,10404,"910072העברה 17,550 ש""ח 23.03.23 עבור חשבוניות 696, 682 וזיכוי",TRUE,2023
ביצועים,נווה אליעזר,גולמט - תקרה אקוסטית,12903,2193,15096,99,2023-02-15T22:00:00.000Z,גולמט,2301206,10407,,TRUE,2023
ביצועים,סטף,עמאר - סטף,68376,11624,80000,99,2023-02-20T22:00:00.000Z,ע.ס.ג הנדסה,62,10410,העברה בנקאית - 20.02.23,TRUE,2023
ביצועים,גשר,"מעליות אלקטרה -גמ""ח",16469,2800,19269,99,2023-02-20T22:00:00.000Z,מעליות אלקטרה,321000258,11115,"שיק 10654 ע""ס 46,617 ש""ח לתאריך 21.02.23 עבור חשבוניות 0018, 0258",TRUE,2023
יזמות,,לוח חשמל מרתף,1368,232,1600,99,2023-02-20T22:00:00.000Z,,468,20812,"העברה בנקאית ע""ס 1,050 ש""ח בתאריך 22.02.23 בתוספת 550 ש""ח במזומן",TRUE,2023
ביצועים,נווה אליעזר,חמיס - נווה אליעזר,46200,7854,54054,99,2023-02-22T22:00:00.000Z,ע.ס.ג הנדסה,63,10422,"שיק 10656 ע""ס 54,054 ש""ח לתאריך 23.02.23",TRUE,2023
ביצועים,נווה אליעזר,מרכז הגבס - 23-02,2098,357,2455,99,2023-02-27T22:00:00.000Z,מרכז הגבס,236001563,10425,,TRUE,2023
ביצועים,ג. התחמושת 2,מרכז הגבס - 23-02,567,96,663,99,2023-02-27T22:00:00.000Z,מרכז הגבס,236001561,10428,,TRUE,2023
ביצועים,גשר,ארכה - 23-02 - זיכוי,-420,-71,-491,99,2023-02-28T00:00:00.000Z,ארכה,352300138,10583,"שיק 10680 ע""ס 33,315 ש""ח 30.05.23 עבור חשבוניות 10/22 - 02/23",TRUE,2023
ביצועים,נווה אליעזר,שרלי - 23-02,16235,2760,18995,99,2023-02-28T00:00:00.000Z,שרלי - חומרי בנין,100185,10431,"שיק 10693 ע""ס 18,995 לתאריך 30.05.23",TRUE,2023
ביצועים,ג. התחמושת 2,מאמין - גיבעת התחשמות,17094,2906,20000,99,2023-03-01T22:00:00.000Z,מאמין חשמלאי אחים עתיד,228,10522,"שיק 10660 סך 50,000 ש""ח לתאריך 02.03.23 + 10661 סך 37,040 ₪ 15.04.23",TRUE,2023
ביצועים,גשר,מאמין - גשר,17500,2975,20475,99,2023-03-01T22:00:00.000Z,מאמין חשמלאי אחים עתיד,228,10521,"שיק 10660 סך 50,000 ש""ח לתאריך 02.03.23 + 10661 סך 37,040 ₪ 15.04.23",TRUE,2023
ביצועים,בבלי,מאמין - בבלי,4500,765,5265,99,2023-03-01T22:00:00.000Z,מאמין חשמלאי אחים עתיד,228,10521,"שיק 10660 סך 50,000 ש""ח לתאריך 02.03.23 + 10661 סך 37,040 ₪ 15.04.23",TRUE,2023
ביצועים,נווה אליעזר,מאמין - מווה אליעזר,37600,6392,43992,99,2023-03-01T22:00:00.000Z,מאמין חשמלאי אחים עתיד,228,10521,"שיק 10660 סך 50,000 ש""ח לתאריך 02.03.23 + 10661 סך 37,040 ₪ 15.04.23",TRUE,2023
ביצועים,נווה אליעזר,חמיס - נווה אליעזר,48000,8160,56160,99,2023-03-01T22:00:00.000Z,ע.ס.ג הנדסה,64,10531,"שיק 10658 ע""ס 56,160 תאריך 02.03.23",TRUE,2023
ביצועים,נווה אליעזר,דלתות רחמים - גשר _ נווה אליעזר,21220,3607,24827,99,2023-03-01T22:00:00.000Z,דלתות גמליאל,3004,10536,שיק 10666 תאריך 30.04.23,TRUE,2023
ביצועים,נווה אליעזר,"אקוסטירק = בידוד לנווה אליעזר גמ""ח",14000,2380,16380,99,2023-03-07T00:00:00.000Z,,1597,10541,,TRUE,2023
ביצועים,נווה אליעזר,"ברק אש - גמ""ח",45240,7691,52931,99,2023-03-08T00:00:00.000Z,ברק אש,1305,10544,שיק 10670 30.05.23,TRUE,2023
ביצועים,נווה אליעזר,חמיס - נווה אליעזר,10600,1802,12402,99,2023-03-08T22:00:00.000Z,אור הארץ,2241,10547,שיק 10665 תאריך 09.03.23,TRUE,2023
ביצועים,נווה אליעזר,"מיזוג - גמ""ח בבלי + נווה אליעזר",57265,9735,67000,99,2023-03-09T00:00:00.000Z,מזגנים - גילי,1191,10552,"שיק 10667 ע""ס 29,400 25.04.23 + 10668 ע""ס 36,260 25.05.23 לאחר ניקוי 2% במקור",TRUE,2023
ביצועים,נווה אליעזר,כיבוד,468,,468,98,2023-01-17T00:00:00.000Z,,154,10278,,TRUE,2023
ביצועים,גשר,פרפקט ליין - השלמות לגשר,3785,,3785,98,2022-08-15T21:00:00.000Z,פרפקט ליין,5581984,9649,,TRUE,2022
ביצועים,גשר,ארכה - 22-08,7612,1294,8906,98,2022-08-24T21:00:00.000Z,ארכה,342207192,9869,"העברה בנקאית 10.01.23 ע""ס 10242 ש""ח עבור חשבוניות אוגוס 177, 178, 192",TRUE,2022
ביצועים,,טמבור,139,,139,98,2022-09-17T21:00:00.000Z,,136590,9872,,TRUE,2022
ביצועים,בבלי,עצים זוהר - דק לבבלי,12222,2078,14300,98,2022-11-19T22:00:00.000Z,זוהר עצים,249360,9975,אשראי,TRUE,2022
ביצועים,,תיקון רכב הנטר,2150,366,2516,98,2022-11-22T22:00:00.000Z,,9410,,אשראי טלפוני,TRUE,2022
ביצועים,צייטלין 2,עצים זוהר -,799,136,935,98,2022-11-23T22:00:00.000Z,זוהר עצים,249609,9877,אשראי,TRUE,2022
ביצועים,גשר,ארכה - 22-11 זיכוי,-420,-71,-491,98,2022-11-27T00:00:00.000Z,ארכה,352200563,9880,"שיק 10680 ע""ס 33,315 ש""ח 30.05.23 עבור חשבוניות 10/22 - 02/23",TRUE,2022
ביצועים,גשר,ארכב - 22-11,5344,908,6252,98,2022-11-27T00:00:00.000Z,ארכה,342209463,9883,"שיק 10680 ע""ס 33,315 ש""ח 30.05.23 עבור חשבוניות 10/22 - 02/23",TRUE,2022
ביצועים,,מעודד - 22-11,84,14,98,98,2022-11-26T22:00:00.000Z,מעודד צבעים,4346539,9886,"שולם באשראי ישירות ע""י בדלפק",TRUE,2022
ביצועים,צייטלין 2,מעודד - 22-11,591,100,691,98,2022-11-26T22:00:00.000Z,מעודד צבעים,4346535,9889,"שולם באשראי ישירות ע""י בדלפק",TRUE,2022
ביצועים,גשר,עצים זוהר,598,102,700,98,2022-11-26T22:00:00.000Z,זוהר עצים,249729,9961,,TRUE,2022
ביצועים,,טמבור,149,,149,98,2022-11-26T22:00:00.000Z,,141412,9894,,TRUE,2022
ביצועים,,טמבור,39,,39,98,2022-11-26T22:00:00.000Z,,141450,9899,,TRUE,2022
ביצועים,נווה אליעזר,ג'ק עגלה,171,29,200,98,2022-11-28T22:00:00.000Z,,68285,9902,אשראי,TRUE,2022
ביצועים,נווה אליעזר,מאמין - תשלום ישירות לאי אר גי,30000,5100,35100,98,2022-11-29T22:00:00.000Z,מאמין חשמלאי אחים עתיד,1333,8843,שולם בשיק 10599 20.03.23 ישירות לאי אר גי,TRUE,2022
ביצועים,,תיקון לאוטו,730,124,854,98,2022-11-30T22:00:00.000Z,,8083,9905,אשראי,TRUE,2022
ביצועים,ג. התחמושת 2,"מנעולי ת""א",152,26,178,98,2022-12-04T00:00:00.000Z,,8123997,9817,,TRUE,2022
ביצועים,נווה אליעזר,כיבוד,348,59,407,98,2022-12-03T22:00:00.000Z,,1262990,,,TRUE,2022
ביצועים,ג. התחמושת 2,"מנעולי ת""א",450,,450,98,2022-12-04T00:00:00.000Z,,124001,9911,,TRUE,2022
ביצועים,גשר,אבי אייר - גריל למזגן,111,19,130,98,2022-12-05T22:00:00.000Z,,47527,9914,אשראי,TRUE,2022
ביצועים,גשר,אחים ונטורה,270,,270,98,2022-12-05T22:00:00.000Z,ונטורה אחים,291670,9917,,TRUE,2022
ביצועים,בבלי,אחים ונטורה,1140,,1140,98,2022-12-07T22:00:00.000Z,ונטורה אחים,291774,9920,,TRUE,2022
ביצועים,ג. התחמושת 2,חרש - תוספות,104,18,122,98,2022-12-12T22:00:00.000Z,חרש חולון,98260,9923,,TRUE,2022
ביצועים,גשר,פרפקט ליין השלמות,332,,332,98,2022-12-12T22:00:00.000Z,פרפקט ליין,5584199,11117,,TRUE,2022
ביצועים,נווה אליעזר,אחים ונטורה,725,,725,98,2022-12-12T22:00:00.000Z,ונטורה אחים,291899,9929,,TRUE,2022
ביצועים,גשר,אחים ונטורה,140,,140,98,2022-12-14T22:00:00.000Z,ונטורה אחים,292002,9932,,TRUE,2022
ביצועים,בבלי,אמבין מראה,1000,170,1170,98,2022-12-17T22:00:00.000Z,אמבין,126477,9935,אשראי,TRUE,2022
ביצועים,בבלי,אחים ונטורה,70,,70,98,2022-12-17T22:00:00.000Z,ונטורה אחים,292124,9940,,TRUE,2022
ביצועים,סטף,איזוטסט - 22-12,581,99,680,98,2022-12-20T00:00:00.000Z,איזוטסט,226010660,9943,"שיק 10767 ע""ס 1,482 עבור חשבוניות 1537, 660, 431 תאריך 15.04.23",TRUE,2022
ביצועים,,טמבור,115,,115,98,2022-12-19T22:00:00.000Z,,143024,9946,,TRUE,2022
ביצועים,גשר,כריתה עצים בגשר,2000,340,2340,98,2022-12-20T22:00:00.000Z,,72,9544,שיק 10617 28.12.22,TRUE,2022
ביצועים,בבלי,שילוט בבלי - חלק א,13800,2346,16146,98,2022-12-25T22:00:00.000Z,,13178,9964,,TRUE,2022
ביצועים,נווה אליעזר,אחים ונטורה,185,,185,98,2022-12-25T22:00:00.000Z,ונטורה אחים,292294,9949,,TRUE,2022
ביצועים,בבלי,אחים ונטורה,270,,270,98,2022-12-26T22:00:00.000Z,ונטורה אחים,292337,9952,,TRUE,2022
ביצועים,גשר,ארכה - 22-12,1348,229,1577,98,2022-12-29T00:00:00.000Z,ארכה,342210436,9955,"שיק 10680 ע""ס 33,315 ש""ח 30.05.23 עבור חשבוניות 10/22 - 02/23",TRUE,2022
ביצועים,בבלי,אחים ונטורה,945,,945,98,2022-12-28T22:00:00.000Z,ונטורה אחים,292421,9958,,TRUE,2022
ביצועים,בבלי,שילוט בבלי - חלק ב,12480,2122,14602,98,2022-12-29T22:00:00.000Z,,13247,9967,,TRUE,2022
ביצועים,נווה אליעזר,יוסי רחמים - 22-12,4400,748,5148,98,2022-12-30T22:00:00.000Z,יוסי רחמים,10693,9598,"העברה 01.02.23 עבור חשבוניות 10624, 10693",TRUE,2022
ביצועים,נווה אליעזר,"מאמין - תשלום ל אי.אר.גי - עבור ג""ת",40590,6900,47490,98,2022-12-30T22:00:00.000Z,מאמין חשמלאי אחים עתיד,1408,9970,שיק 10634 לתאריך 20.04.23,TRUE,2022
ביצועים,גשר,שלטים - יולס,980,167,1147,98,2022-12-31T22:00:00.000Z,,30901,10038,אשראי,TRUE,2023
ביצועים,בבלי,כיבוד - מסירה בבלי,940,,940,98,2023-01-01T22:00:00.000Z,,10690,10040,,TRUE,2023
ביצועים,בבלי,פרקט - יניב - בבלי,33660,5722,39382,98,2023-01-03T00:00:00.000Z,יניב פרקטים,50062,10334,"שיק 10636 42,607 ש""ח לתאריך 30.03.23 עבור חשבוניות 50062, 50072 לאחר ניקוי 2% במקור",TRUE,2023
ביצועים,,מוסך עלית - תיקון לאוטו,300,51,351,98,2023-01-03T22:00:00.000Z,,1733,10043,אשראי,TRUE,2023
ביצועים,בבלי,אייל ציפויים חצי גשר חצי בבלי,502,85,587,98,2023-01-04T22:00:00.000Z,,235000296,10024,,TRUE,2023
ביצועים,נווה אליעזר,אחים ונטורה,573,,573,98,2022-12-07T00:00:00.000Z,ונטורה אחים,291745,9978,,TRUE,2022
ביצועים,בבלי,בדיקת חשמל - בבלי,600,102,702,98,2023-01-07T22:00:00.000Z,עסיס אייל,6223,10046,העברה בנקאית - 08.01.23,TRUE,2023
ביצועים,,נמרוד,2400,408,2808,98,2023-01-08T22:00:00.000Z,נמרוד דוודים,12623,10281,אשראי,TRUE,2023
ביצועים,גשר,מאמין -גשר,30000,5100,35100,98,2023-01-08T22:00:00.000Z,מאמין חשמלאי אחים עתיד,220,10051,"שיק 10625 ע""ס 90,792 עבור גשר, בבלי, סטף, נווה אליעזר תאריך 09.01.23 - ניקוי 3% במקור",TRUE,2023
ביצועים,בבלי,מאמין - בבלי - גצ-ח,2600,442,3042,98,2023-01-08T22:00:00.000Z,מאמין חשמלאי אחים עתיד,220,10050,"שיק 10625 ע""ס 90,792 עבור גשר, בבלי, סטף, נווה אליעזר תאריך 09.01.23 - ניקוי 3% במקור",TRUE,2023
ביצועים,סטף,מאמין - סטף,20000,3400,23400,98,2023-01-08T22:00:00.000Z,מאמין חשמלאי אחים עתיד,220,10050,"שיק 10625 ע""ס 90,792 עבור גשר, בבלי, סטף, נווה אליעזר תאריך 09.01.23 - ניקוי 3% במקור",TRUE,2023
ביצועים,נווה אליעזר,מאמין - נווה אליעזר,27400,4658,32058,98,2023-01-08T22:00:00.000Z,מאמין חשמלאי אחים עתיד,220,10050,"שיק 10625 ע""ס 90,792 עבור גשר, בבלי, סטף, נווה אליעזר תאריך 09.01.23 - ניקוי 3% במקור",TRUE,2023
ביצועים,גשר,אחים ונטורה,1607,,1607,98,2023-01-10T22:00:00.000Z,ונטורה אחים,294114,10058,,TRUE,2023
ביצועים,גשר,אחים ונטורה,135,,135,98,2023-01-10T22:00:00.000Z,ונטורה אחים,294145,10065,,TRUE,2023
ביצועים,נווה אליעזר,שתיה לפועלים,60,,60,98,2023-01-10T22:00:00.000Z,,301714,10067,,TRUE,2023
ביצועים,נווה אליעזר,חמיס - נווה אליעזר,39000,6630,45630,98,2023-01-11T22:00:00.000Z,אור הארץ,3102,10070,"שיק 10626 ע""ס 67,860 ש""ח לתאריך 12.01.23 עבור נווה אליעזר, גשר, צייטלין ואדם בבלי וצייטלין",TRUE,2023
ביצועים,גשר,חמיס - גשר,8000,1360,9360,98,2023-01-11T22:00:00.000Z,אור הארץ,3102,10069,"שיק 10626 ע""ס 67,860 ש""ח לתאריך 12.01.23 עבור נווה אליעזר, גשר, צייטלין ואדם בבלי וצייטלין",TRUE,2023
